idade,genero,estado_civil,regiao,renda_mensal,nivel_educacional,perfil_investidor,tempo_experiencia_mercado,valor_total_investido,objetivo_principal,setores_preferenciais,frequencia_operacoes,conhecimento_mercado,usa_analise_tecnica,usa_analise_fundamentalista
63,Masculino,Divorciado,Centro-Oeste,13644.62,Superior Incompleto,Moderado,4.1,815740.75,Reserva de Emergência,Commodities,Day Trade,Médio,Não,Não
74,Masculino,Solteiro,Sul,39119.0,Médio,Conservador,17.2,358180.48,Compra de Imóvel,Energia Elétrica,Ocasional (Buy and Hold),Baixo,Não,Sim
19,Feminino,Viúvo,Sul,31930.58,Superior Incompleto,Conservador,14.8,990452.09,Diversificação,Varejo,Day Trade,Alto,Sim,Não
59,Masculino,Divorciado,Sul,30471.22,Fundamental,Conservador,6.2,16715.72,Educação dos Filhos,Outro,Anual,Médio,Sim,Não
39,Outro,Casado,Norte,20947.29,Fundamental,Agressivo,29.2,949443.65,Viagem,Papel e Celulose,Day Trade,Médio,Não,Sim
38,Outro,Solteiro,Norte,16973.91,Pós-graduado,Agressivo,19.6,69025.2,Aposentadoria,Outro,Semanal (Swing Trade),Alto,Sim,Sim
50,Outro,Casado,Norte,6520.75,Fundamental,Conservador,22.5,448053.9,Curto Prazo,Financeiro,Day Trade,Baixo,Sim,Não
38,Outro,Viúvo,Nordeste,34772.09,Pós-graduado,Moderado,16.9,861966.25,Reserva de Emergência,Commodities,Anual,Médio,Sim,Sim
44,Outro,Divorciado,Norte,26427.23,Fundamental,Moderado,12.9,677716.39,Reserva de Emergência,Saneamento,Anual,Alto,Sim,Sim
75,Feminino,Solteiro,Nordeste,4422.01,Superior Completo,Conservador,12.1,253284.18,Curto Prazo,Saneamento,Mensal,Médio,Não,Não
60,Feminino,Solteiro,Sudeste,14330.7,Médio,Moderado,28.1,372597.85,Curto Prazo,Outro,Ocasional (Buy and Hold),Alto,Não,Sim
60,Outro,Casado,Centro-Oeste,1575.59,Fundamental,Arrojado,8.3,146019.6,Curto Prazo,Saúde,Mensal,Baixo,Sim,Sim
59,Masculino,Solteiro,Centro-Oeste,15742.75,Fundamental,Agressivo,2.5,687348.57,Aposentadoria,Construção Civil,Anual,Baixo,Sim,Não
52,Masculino,Casado,Sul,33427.1,Superior Completo,Conservador,11.9,357629.18,Curto Prazo,Saúde,Day Trade,Baixo,Não,Sim
70,Masculino,Casado,Centro-Oeste,36250.02,Fundamental,Agressivo,23.7,564497.34,Diversificação,Varejo,Semanal (Swing Trade),Médio,Não,Não
41,Feminino,Divorciado,Centro-Oeste,34377.11,Superior Completo,Arrojado,4.1,42577.58,Educação dos Filhos,Outro,Day Trade,Médio,Não,Sim
41,Outro,Casado,Sul,21104.81,Pós-graduado,Moderado,11.1,750606.43,Viagem,Financeiro,Semanal (Swing Trade),Alto,Não,Sim
53,Outro,Viúvo,Sul,11211.77,Superior Completo,Arrojado,25.0,567435.14,Aposentadoria,Energia Elétrica,Anual,Baixo,Sim,Não
58,Outro,Solteiro,Centro-Oeste,9926.75,Pós-graduado,Arrojado,22.7,1184.69,Compra de Imóvel,Saneamento,Ocasional (Buy and Hold),Baixo,Não,Sim
31,Feminino,Divorciado,Norte,38138.12,Médio,Agressivo,18.9,502085.51,Renda Passiva,Outro,Anual,Alto,Não,Sim
33,Masculino,Viúvo,Sudeste,1951.22,Fundamental,Arrojado,19.1,73303.27,Reserva de Emergência,Financeiro,Ocasional (Buy and Hold),Alto,Não,Não
29,Outro,Viúvo,Sul,30143.4,Pós-graduado,Arrojado,7.9,326787.27,Viagem,Energia Elétrica,Semanal (Swing Trade),Baixo,Sim,Sim
20,Feminino,Solteiro,Sudeste,39410.56,Pós-graduado,Conservador,22.4,211366.48,Diversificação,Tecnologia,Mensal,Baixo,Não,Sim
59,Masculino,Divorciado,Nordeste,28493.64,Médio,Agressivo,7.6,755647.4,Compra de Imóvel,Varejo,Mensal,Alto,Sim,Sim
23,Outro,Viúvo,Sul,17169.18,Fundamental,Moderado,29.4,480935.97,Educação dos Filhos,Outro,Day Trade,Baixo,Não,Não
66,Masculino,Divorciado,Norte,38516.24,Superior Incompleto,Arrojado,9.0,818369.78,Aposentadoria,Varejo,Ocasional (Buy and Hold),Alto,Sim,Sim
50,Masculino,Divorciado,Centro-Oeste,28282.69,Fundamental,Moderado,15.5,80580.48,Aposentadoria,Energia Elétrica,Ocasional (Buy and Hold),Médio,Sim,Não
40,Outro,Casado,Sul,26587.61,Pós-graduado,Moderado,18.0,557862.92,Aposentadoria,Tecnologia,Ocasional (Buy and Hold),Médio,Sim,Não
37,Feminino,Solteiro,Sudeste,17850.77,Médio,Conservador,28.1,508879.35,Aposentadoria,Tecnologia,Ocasional (Buy and Hold),Médio,Não,Sim
32,Feminino,Viúvo,Nordeste,15908.61,Pós-graduado,Arrojado,27.6,447705.91,Educação dos Filhos,Tecnologia,Semanal (Swing Trade),Alto,Não,Sim
65,Feminino,Casado,Sudeste,19737.9,Superior Completo,Moderado,22.7,11043.0,Viagem,Tecnologia,Mensal,Alto,Não,Não
36,Outro,Casado,Centro-Oeste,33291.45,Fundamental,Moderado,17.4,510725.78,Compra de Imóvel,Papel e Celulose,Mensal,Baixo,Não,Não
59,Masculino,Casado,Centro-Oeste,9201.75,Superior Completo,Arrojado,20.5,914371.86,Compra de Imóvel,Tecnologia,Anual,Médio,Sim,Sim
46,Outro,Divorciado,Nordeste,37799.23,Superior Completo,Agressivo,29.3,184755.16,Viagem,Commodities,Anual,Alto,Sim,Sim
62,Outro,Divorciado,Norte,18260.57,Superior Completo,Moderado,11.5,684046.13,Compra de Imóvel,Saúde,Ocasional (Buy and Hold),Baixo,Não,Sim
40,Feminino,Solteiro,Centro-Oeste,23206.66,Fundamental,Conservador,12.3,133958.04,Diversificação,Tecnologia,Semanal (Swing Trade),Baixo,Sim,Não
60,Masculino,Solteiro,Norte,4994.01,Fundamental,Agressivo,22.8,12441.83,Aposentadoria,Financeiro,Mensal,Baixo,Não,Não
54,Outro,Divorciado,Sul,23254.96,Médio,Agressivo,18.9,847220.88,Viagem,Construção Civil,Ocasional (Buy and Hold),Médio,Sim,Sim
47,Masculino,Solteiro,Centro-Oeste,27809.51,Pós-graduado,Moderado,29.2,395305.97,Aposentadoria,Papel e Celulose,Mensal,Médio,Não,Sim
57,Masculino,Divorciado,Norte,37806.08,Superior Completo,Moderado,20.2,860249.24,Educação dos Filhos,Tecnologia,Anual,Médio,Sim,Não
57,Outro,Viúvo,Centro-Oeste,12642.79,Médio,Arrojado,24.0,425191.64,Reserva de Emergência,Construção Civil,Mensal,Médio,Sim,Sim
71,Masculino,Divorciado,Centro-Oeste,26022.77,Pós-graduado,Arrojado,23.1,802047.81,Renda Passiva,Outro,Anual,Médio,Sim,Sim
51,Outro,Viúvo,Norte,36775.08,Fundamental,Arrojado,7.1,820511.38,Reserva de Emergência,Varejo,Anual,Baixo,Não,Sim
39,Feminino,Casado,Centro-Oeste,15082.39,Superior Completo,Agressivo,23.7,119142.98,Viagem,Varejo,Anual,Alto,Sim,Não
29,Feminino,Solteiro,Norte,20322.4,Fundamental,Agressivo,6.6,981514.62,Aposentadoria,Financeiro,Mensal,Médio,Não,Sim
38,Outro,Casado,Nordeste,11252.64,Fundamental,Agressivo,12.7,281645.98,Renda Passiva,Construção Civil,Mensal,Médio,Sim,Não
66,Masculino,Divorciado,Sul,31206.33,Superior Incompleto,Arrojado,15.7,655910.32,Reserva de Emergência,Saneamento,Day Trade,Baixo,Sim,Não
32,Feminino,Divorciado,Sudeste,16628.52,Médio,Arrojado,9.6,852925.68,Diversificação,Varejo,Anual,Médio,Não,Sim
60,Feminino,Casado,Nordeste,6373.61,Fundamental,Agressivo,0.9,773250.19,Aposentadoria,Energia Elétrica,Semanal (Swing Trade),Baixo,Não,Sim
65,Outro,Viúvo,Sul,38244.77,Pós-graduado,Agressivo,19.9,26174.92,Viagem,Commodities,Anual,Médio,Sim,Sim
69,Masculino,Casado,Sudeste,8403.95,Fundamental,Moderado,29.7,839544.7,Educação dos Filhos,Tecnologia,Day Trade,Alto,Sim,Não
53,Feminino,Casado,Norte,5105.12,Superior Incompleto,Conservador,15.6,663693.21,Curto Prazo,Varejo,Day Trade,Médio,Não,Não
40,Feminino,Viúvo,Centro-Oeste,9965.93,Superior Completo,Agressivo,23.6,883501.54,Educação dos Filhos,Saúde,Mensal,Baixo,Não,Sim
29,Outro,Solteiro,Sul,12335.6,Fundamental,Arrojado,18.7,882278.61,Aposentadoria,Commodities,Semanal (Swing Trade),Baixo,Sim,Não
29,Outro,Divorciado,Nordeste,5096.91,Superior Incompleto,Conservador,22.8,902784.91,Educação dos Filhos,Saúde,Semanal (Swing Trade),Alto,Não,Sim
51,Outro,Solteiro,Sudeste,11380.83,Superior Incompleto,Moderado,0.8,121833.43,Reserva de Emergência,Varejo,Mensal,Baixo,Não,Sim
38,Outro,Viúvo,Nordeste,6155.33,Médio,Agressivo,6.4,119207.13,Curto Prazo,Construção Civil,Anual,Baixo,Não,Sim
65,Masculino,Solteiro,Sudeste,12118.09,Fundamental,Arrojado,4.9,724271.45,Educação dos Filhos,Saúde,Ocasional (Buy and Hold),Médio,Sim,Não
59,Outro,Casado,Nordeste,8940.56,Pós-graduado,Conservador,18.2,307037.54,Reserva de Emergência,Papel e Celulose,Mensal,Baixo,Sim,Sim
35,Feminino,Divorciado,Norte,18634.95,Superior Completo,Arrojado,23.7,309553.22,Curto Prazo,Financeiro,Day Trade,Baixo,Não,Sim
70,Feminino,Viúvo,Norte,16381.47,Superior Completo,Conservador,8.6,429138.61,Reserva de Emergência,Financeiro,Semanal (Swing Trade),Baixo,Sim,Não
26,Feminino,Viúvo,Nordeste,21909.21,Pós-graduado,Moderado,14.7,410217.82,Diversificação,Saneamento,Anual,Médio,Sim,Não
26,Masculino,Solteiro,Sul,1715.5,Fundamental,Agressivo,23.7,815984.63,Diversificação,Varejo,Mensal,Alto,Não,Não
24,Outro,Solteiro,Nordeste,24172.94,Fundamental,Arrojado,9.7,336007.02,Viagem,Saneamento,Ocasional (Buy and Hold),Médio,Não,Sim
61,Outro,Divorciado,Nordeste,31953.45,Pós-graduado,Agressivo,10.9,369597.93,Compra de Imóvel,Tecnologia,Mensal,Alto,Sim,Não
56,Outro,Solteiro,Nordeste,31643.98,Médio,Moderado,25.4,646099.06,Curto Prazo,Construção Civil,Mensal,Médio,Não,Sim
23,Masculino,Divorciado,Sul,31384.4,Fundamental,Moderado,14.7,953810.94,Aposentadoria,Varejo,Mensal,Médio,Sim,Não
62,Feminino,Casado,Sul,9353.7,Superior Completo,Agressivo,25.3,562888.58,Curto Prazo,Saúde,Mensal,Alto,Não,Não
48,Feminino,Solteiro,Norte,18192.89,Pós-graduado,Arrojado,21.6,505094.81,Educação dos Filhos,Construção Civil,Ocasional (Buy and Hold),Alto,Sim,Não
26,Outro,Casado,Sul,17103.4,Fundamental,Arrojado,1.6,177812.99,Renda Passiva,Papel e Celulose,Semanal (Swing Trade),Médio,Sim,Não
27,Outro,Solteiro,Norte,5550.13,Fundamental,Moderado,26.6,511845.78,Viagem,Tecnologia,Semanal (Swing Trade),Baixo,Não,Sim
74,Feminino,Viúvo,Sudeste,18111.53,Pós-graduado,Arrojado,15.5,220266.29,Reserva de Emergência,Papel e Celulose,Mensal,Médio,Não,Sim
55,Feminino,Solteiro,Sudeste,17722.69,Médio,Conservador,4.4,207544.57,Curto Prazo,Saúde,Ocasional (Buy and Hold),Alto,Sim,Não
73,Masculino,Viúvo,Sul,23889.78,Pós-graduado,Conservador,0.7,202594.96,Curto Prazo,Papel e Celulose,Semanal (Swing Trade),Baixo,Não,Não
41,Feminino,Divorciado,Sul,37156.61,Superior Completo,Arrojado,14.4,661743.21,Diversificação,Saúde,Anual,Baixo,Não,Sim
68,Feminino,Solteiro,Nordeste,25018.88,Superior Completo,Agressivo,11.2,351469.61,Renda Passiva,Commodities,Ocasional (Buy and Hold),Alto,Não,Não
67,Outro,Solteiro,Sul,32823.65,Médio,Agressivo,8.8,284871.88,Educação dos Filhos,Varejo,Semanal (Swing Trade),Baixo,Sim,Não
29,Feminino,Viúvo,Sudeste,21612.84,Fundamental,Arrojado,23.7,56626.17,Viagem,Energia Elétrica,Anual,Baixo,Não,Não
33,Feminino,Divorciado,Centro-Oeste,27957.19,Médio,Agressivo,8.7,259549.22,Diversificação,Energia Elétrica,Ocasional (Buy and Hold),Alto,Não,Não
32,Feminino,Solteiro,Nordeste,14193.97,Fundamental,Moderado,14.3,65886.97,Compra de Imóvel,Construção Civil,Semanal (Swing Trade),Baixo,Não,Sim
68,Masculino,Viúvo,Sudeste,35062.06,Médio,Conservador,6.7,67874.43,Viagem,Energia Elétrica,Semanal (Swing Trade),Médio,Sim,Sim
70,Feminino,Solteiro,Sudeste,11063.88,Fundamental,Agressivo,19.2,421035.91,Educação dos Filhos,Saúde,Day Trade,Médio,Não,Não
27,Feminino,Viúvo,Nordeste,31287.17,Fundamental,Agressivo,20.8,508202.93,Reserva de Emergência,Energia Elétrica,Ocasional (Buy and Hold),Alto,Não,Não
32,Feminino,Solteiro,Centro-Oeste,2478.08,Superior Completo,Agressivo,10.7,597199.47,Aposentadoria,Saneamento,Semanal (Swing Trade),Baixo,Sim,Não
49,Feminino,Viúvo,Centro-Oeste,22319.28,Fundamental,Moderado,8.2,996378.92,Curto Prazo,Saúde,Ocasional (Buy and Hold),Alto,Sim,Não
42,Masculino,Divorciado,Norte,14460.79,Fundamental,Agressivo,17.7,860290.15,Educação dos Filhos,Financeiro,Ocasional (Buy and Hold),Médio,Não,Sim
26,Feminino,Solteiro,Centro-Oeste,37722.41,Pós-graduado,Arrojado,15.9,998975.36,Aposentadoria,Saúde,Anual,Baixo,Sim,Não
55,Masculino,Divorciado,Sul,16084.19,Médio,Conservador,15.7,230692.34,Aposentadoria,Commodities,Mensal,Alto,Sim,Não
18,Outro,Divorciado,Sul,3290.13,Médio,Moderado,0.8,848819.24,Renda Passiva,Outro,Mensal,Médio,Não,Sim
41,Feminino,Casado,Norte,17426.92,Superior Incompleto,Conservador,20.9,907016.78,Educação dos Filhos,Commodities,Semanal (Swing Trade),Médio,Não,Não
73,Outro,Divorciado,Norte,20586.35,Pós-graduado,Moderado,2.9,708305.81,Viagem,Commodities,Semanal (Swing Trade),Médio,Não,Não
20,Outro,Divorciado,Nordeste,36581.84,Médio,Moderado,9.2,46288.67,Educação dos Filhos,Financeiro,Ocasional (Buy and Hold),Alto,Não,Sim
74,Outro,Divorciado,Norte,7246.25,Pós-graduado,Conservador,13.1,719357.38,Reserva de Emergência,Saneamento,Ocasional (Buy and Hold),Alto,Sim,Não
35,Masculino,Casado,Nordeste,21883.5,Pós-graduado,Arrojado,24.2,382751.81,Curto Prazo,Outro,Ocasional (Buy and Hold),Baixo,Não,Sim
28,Outro,Viúvo,Norte,7590.98,Superior Incompleto,Agressivo,15.0,502334.8,Renda Passiva,Papel e Celulose,Day Trade,Baixo,Não,Não
52,Masculino,Casado,Norte,29743.67,Superior Completo,Agressivo,21.9,4272.37,Diversificação,Tecnologia,Ocasional (Buy and Hold),Baixo,Sim,Sim
43,Outro,Divorciado,Nordeste,27074.51,Superior Incompleto,Arrojado,17.9,302014.69,Diversificação,Tecnologia,Ocasional (Buy and Hold),Alto,Não,Não
50,Masculino,Solteiro,Sudeste,18130.51,Fundamental,Conservador,25.2,921477.73,Viagem,Varejo,Anual,Baixo,Sim,Sim
73,Outro,Casado,Sul,12114.2,Superior Completo,Conservador,15.2,328206.19,Aposentadoria,Papel e Celulose,Semanal (Swing Trade),Médio,Não,Sim
46,Outro,Divorciado,Nordeste,39553.21,Superior Completo,Moderado,9.9,402421.75,Renda Passiva,Financeiro,Ocasional (Buy and Hold),Baixo,Sim,Não
26,Outro,Viúvo,Nordeste,9616.46,Superior Incompleto,Conservador,16.1,583669.19,Educação dos Filhos,Varejo,Day Trade,Médio,Sim,Não
67,Masculino,Viúvo,Norte,7887.08,Pós-graduado,Agressivo,13.4,592965.22,Viagem,Varejo,Day Trade,Médio,Não,Não
24,Masculino,Divorciado,Norte,23614.82,Fundamental,Moderado,6.2,5617.88,Renda Passiva,Commodities,Semanal (Swing Trade),Baixo,Sim,Não
34,Feminino,Solteiro,Centro-Oeste,28560.57,Pós-graduado,Arrojado,12.0,531247.06,Curto Prazo,Tecnologia,Day Trade,Baixo,Sim,Sim
45,Feminino,Divorciado,Centro-Oeste,10715.58,Fundamental,Arrojado,14.2,172084.22,Compra de Imóvel,Outro,Day Trade,Baixo,Sim,Sim
47,Feminino,Casado,Centro-Oeste,27725.43,Superior Incompleto,Agressivo,17.7,167258.96,Compra de Imóvel,Saneamento,Day Trade,Médio,Não,Não
47,Feminino,Viúvo,Sul,12494.77,Fundamental,Agressivo,0.4,628464.31,Reserva de Emergência,Saúde,Ocasional (Buy and Hold),Baixo,Não,Sim
43,Feminino,Viúvo,Sul,14744.72,Médio,Moderado,19.8,456346.76,Educação dos Filhos,Saneamento,Anual,Médio,Sim,Sim
69,Feminino,Viúvo,Sul,17832.49,Superior Completo,Arrojado,3.2,475324.04,Viagem,Commodities,Day Trade,Alto,Sim,Sim
73,Masculino,Viúvo,Sudeste,38435.46,Superior Incompleto,Agressivo,24.4,198641.07,Curto Prazo,Tecnologia,Semanal (Swing Trade),Médio,Sim,Não
74,Masculino,Viúvo,Norte,11733.21,Pós-graduado,Moderado,6.1,920729.23,Viagem,Energia Elétrica,Day Trade,Médio,Sim,Não
22,Masculino,Viúvo,Norte,13165.24,Médio,Arrojado,27.7,842851.74,Reserva de Emergência,Tecnologia,Ocasional (Buy and Hold),Baixo,Não,Sim
71,Feminino,Solteiro,Sudeste,30578.32,Fundamental,Arrojado,3.7,178104.68,Compra de Imóvel,Energia Elétrica,Day Trade,Médio,Não,Sim
58,Outro,Solteiro,Centro-Oeste,11303.67,Superior Completo,Agressivo,28.7,260130.47,Reserva de Emergência,Saúde,Mensal,Alto,Sim,Não
74,Masculino,Divorciado,Norte,26639.09,Médio,Conservador,1.2,462582.99,Curto Prazo,Commodities,Semanal (Swing Trade),Médio,Sim,Sim
60,Masculino,Divorciado,Nordeste,17780.36,Superior Completo,Arrojado,1.3,854555.27,Educação dos Filhos,Saneamento,Day Trade,Baixo,Sim,Não
47,Masculino,Divorciado,Centro-Oeste,5211.07,Superior Completo,Agressivo,3.9,965212.45,Aposentadoria,Outro,Semanal (Swing Trade),Alto,Não,Sim
57,Masculino,Casado,Centro-Oeste,14642.44,Fundamental,Arrojado,22.3,363495.12,Reserva de Emergência,Energia Elétrica,Anual,Alto,Não,Não
29,Masculino,Divorciado,Norte,6852.89,Pós-graduado,Agressivo,15.2,313508.82,Curto Prazo,Papel e Celulose,Semanal (Swing Trade),Alto,Não,Não
32,Masculino,Viúvo,Norte,1704.01,Fundamental,Agressivo,7.2,214609.25,Viagem,Varejo,Day Trade,Baixo,Não,Não
60,Outro,Casado,Norte,36716.32,Superior Completo,Agressivo,17.5,925922.24,Viagem,Construção Civil,Ocasional (Buy and Hold),Alto,Sim,Não
27,Masculino,Casado,Norte,26827.54,Superior Completo,Arrojado,6.5,204577.61,Reserva de Emergência,Construção Civil,Mensal,Médio,Não,Sim
72,Outro,Casado,Centro-Oeste,36229.99,Pós-graduado,Agressivo,18.2,534813.15,Renda Passiva,Tecnologia,Semanal (Swing Trade),Alto,Sim,Sim
68,Feminino,Viúvo,Nordeste,18500.44,Pós-graduado,Conservador,18.1,977228.48,Educação dos Filhos,Saúde,Day Trade,Médio,Sim,Sim
19,Feminino,Solteiro,Sudeste,25960.93,Superior Incompleto,Moderado,5.0,290595.31,Curto Prazo,Construção Civil,Mensal,Alto,Não,Sim
52,Feminino,Solteiro,Centro-Oeste,7171.63,Médio,Conservador,8.9,852920.63,Renda Passiva,Construção Civil,Day Trade,Alto,Sim,Sim
21,Feminino,Viúvo,Centro-Oeste,5677.64,Fundamental,Moderado,11.9,490212.34,Curto Prazo,Commodities,Ocasional (Buy and Hold),Médio,Sim,Não
39,Outro,Divorciado,Norte,6611.9,Superior Incompleto,Moderado,16.5,563353.14,Viagem,Outro,Ocasional (Buy and Hold),Médio,Sim,Não
41,Masculino,Casado,Norte,9568.17,Pós-graduado,Arrojado,22.3,320944.11,Aposentadoria,Commodities,Anual,Alto,Não,Não
69,Outro,Viúvo,Sudeste,16902.66,Superior Incompleto,Moderado,27.4,33629.93,Curto Prazo,Varejo,Anual,Alto,Não,Sim
42,Outro,Divorciado,Sudeste,30528.53,Médio,Conservador,4.9,216465.3,Compra de Imóvel,Commodities,Semanal (Swing Trade),Médio,Sim,Não
74,Feminino,Solteiro,Nordeste,7957.2,Superior Completo,Arrojado,20.8,528908.33,Diversificação,Energia Elétrica,Anual,Médio,Sim,Sim
40,Outro,Divorciado,Sudeste,22430.14,Superior Completo,Conservador,26.5,48303.1,Reserva de Emergência,Energia Elétrica,Ocasional (Buy and Hold),Médio,Sim,Não
46,Outro,Divorciado,Nordeste,8137.35,Superior Incompleto,Agressivo,23.1,992261.61,Renda Passiva,Commodities,Anual,Alto,Sim,Sim
29,Feminino,Divorciado,Sudeste,8057.6,Pós-graduado,Moderado,26.4,359657.6,Educação dos Filhos,Papel e Celulose,Mensal,Baixo,Sim,Sim
64,Outro,Divorciado,Sul,26865.24,Superior Completo,Arrojado,15.2,337971.95,Educação dos Filhos,Papel e Celulose,Mensal,Baixo,Sim,Não
64,Outro,Casado,Sudeste,16762.32,Superior Incompleto,Arrojado,17.5,358490.86,Aposentadoria,Construção Civil,Day Trade,Alto,Não,Não
52,Outro,Viúvo,Centro-Oeste,20191.88,Médio,Moderado,16.6,924379.15,Educação dos Filhos,Financeiro,Mensal,Alto,Sim,Sim
42,Masculino,Viúvo,Centro-Oeste,17833.26,Pós-graduado,Arrojado,28.5,50611.17,Educação dos Filhos,Financeiro,Semanal (Swing Trade),Alto,Sim,Não
55,Feminino,Divorciado,Sudeste,27788.52,Superior Incompleto,Moderado,25.2,78957.75,Curto Prazo,Energia Elétrica,Semanal (Swing Trade),Alto,Sim,Não
66,Feminino,Divorciado,Centro-Oeste,11189.48,Pós-graduado,Moderado,12.6,294831.06,Reserva de Emergência,Saúde,Day Trade,Baixo,Sim,Não
75,Masculino,Casado,Sul,25305.41,Superior Incompleto,Arrojado,21.2,40608.2,Renda Passiva,Construção Civil,Semanal (Swing Trade),Médio,Não,Sim
22,Outro,Viúvo,Norte,17164.64,Pós-graduado,Moderado,6.2,386258.49,Educação dos Filhos,Saneamento,Ocasional (Buy and Hold),Alto,Sim,Sim
19,Masculino,Divorciado,Sudeste,23195.68,Médio,Arrojado,22.2,133671.41,Educação dos Filhos,Financeiro,Semanal (Swing Trade),Alto,Sim,Não
70,Masculino,Casado,Nordeste,2970.16,Fundamental,Moderado,21.7,143602.82,Compra de Imóvel,Tecnologia,Mensal,Baixo,Sim,Não
59,Feminino,Viúvo,Sul,17511.54,Pós-graduado,Moderado,2.7,408655.73,Compra de Imóvel,Energia Elétrica,Semanal (Swing Trade),Alto,Não,Sim
72,Masculino,Solteiro,Centro-Oeste,18826.61,Médio,Agressivo,19.8,599325.87,Renda Passiva,Saneamento,Anual,Alto,Sim,Não
59,Masculino,Solteiro,Centro-Oeste,27792.32,Superior Incompleto,Conservador,23.2,268323.5,Reserva de Emergência,Tecnologia,Anual,Médio,Sim,Não
45,Feminino,Viúvo,Centro-Oeste,17146.72,Médio,Agressivo,16.5,373826.05,Educação dos Filhos,Commodities,Day Trade,Alto,Não,Não
24,Outro,Casado,Norte,18386.48,Superior Completo,Moderado,17.6,531626.28,Aposentadoria,Varejo,Anual,Alto,Sim,Não
48,Outro,Casado,Sudeste,15325.95,Pós-graduado,Moderado,13.6,512720.9,Diversificação,Energia Elétrica,Semanal (Swing Trade),Baixo,Sim,Não
50,Outro,Viúvo,Sudeste,21850.15,Superior Incompleto,Agressivo,23.2,211997.16,Curto Prazo,Energia Elétrica,Semanal (Swing Trade),Médio,Não,Não
31,Outro,Solteiro,Centro-Oeste,22490.54,Médio,Conservador,6.0,179935.54,Aposentadoria,Outro,Semanal (Swing Trade),Alto,Sim,Sim
24,Outro,Viúvo,Centro-Oeste,29979.71,Pós-graduado,Arrojado,26.1,469905.47,Diversificação,Saneamento,Anual,Médio,Não,Sim
39,Masculino,Divorciado,Norte,30787.39,Médio,Moderado,7.0,302200.43,Aposentadoria,Construção Civil,Day Trade,Alto,Não,Não
25,Outro,Casado,Nordeste,8729.26,Superior Completo,Agressivo,23.3,707565.67,Diversificação,Financeiro,Mensal,Baixo,Não,Sim
22,Feminino,Divorciado,Sudeste,20666.38,Fundamental,Conservador,20.6,309627.38,Viagem,Papel e Celulose,Mensal,Baixo,Não,Não
42,Masculino,Solteiro,Centro-Oeste,14548.66,Superior Incompleto,Arrojado,28.2,512216.69,Curto Prazo,Papel e Celulose,Ocasional (Buy and Hold),Baixo,Sim,Sim
67,Outro,Casado,Sul,28973.1,Pós-graduado,Arrojado,19.0,70615.56,Compra de Imóvel,Papel e Celulose,Anual,Alto,Sim,Sim
68,Outro,Viúvo,Sudeste,1750.61,Superior Completo,Conservador,12.4,998875.83,Renda Passiva,Outro,Semanal (Swing Trade),Baixo,Sim,Não
59,Feminino,Casado,Sudeste,27998.06,Pós-graduado,Agressivo,0.4,464055.9,Curto Prazo,Construção Civil,Semanal (Swing Trade),Alto,Sim,Não
44,Outro,Casado,Sudeste,6859.51,Fundamental,Agressivo,10.3,269715.16,Renda Passiva,Tecnologia,Day Trade,Alto,Sim,Sim
26,Outro,Casado,Nordeste,2320.42,Fundamental,Moderado,13.6,293506.74,Compra de Imóvel,Commodities,Day Trade,Baixo,Não,Sim
53,Outro,Casado,Nordeste,28715.01,Pós-graduado,Conservador,19.3,815185.31,Renda Passiva,Tecnologia,Anual,Baixo,Não,Sim
61,Feminino,Solteiro,Sudeste,37050.75,Fundamental,Agressivo,15.2,699117.07,Compra de Imóvel,Outro,Anual,Alto,Não,Sim
66,Outro,Viúvo,Nordeste,32330.1,Superior Completo,Conservador,0.2,523307.98,Educação dos Filhos,Financeiro,Ocasional (Buy and Hold),Baixo,Sim,Sim
65,Outro,Solteiro,Sudeste,4987.2,Superior Incompleto,Arrojado,26.1,576533.29,Renda Passiva,Tecnologia,Ocasional (Buy and Hold),Baixo,Não,Não
54,Outro,Divorciado,Sudeste,31123.32,Pós-graduado,Agressivo,24.1,418444.4,Renda Passiva,Energia Elétrica,Day Trade,Alto,Sim,Sim
33,Feminino,Solteiro,Centro-Oeste,19787.61,Pós-graduado,Agressivo,5.0,246534.33,Diversificação,Energia Elétrica,Mensal,Médio,Não,Não
38,Feminino,Solteiro,Norte,3107.82,Fundamental,Conservador,26.4,695599.47,Diversificação,Saneamento,Semanal (Swing Trade),Alto,Não,Sim
18,Masculino,Solteiro,Norte,20520.68,Superior Completo,Agressivo,20.1,562985.78,Educação dos Filhos,Saúde,Day Trade,Alto,Não,Não
75,Masculino,Divorciado,Sul,26242.65,Superior Incompleto,Agressivo,7.1,935383.47,Reserva de Emergência,Outro,Anual,Baixo,Sim,Sim
61,Outro,Viúvo,Centro-Oeste,6092.13,Pós-graduado,Arrojado,1.7,723344.22,Curto Prazo,Varejo,Ocasional (Buy and Hold),Baixo,Sim,Não
63,Outro,Solteiro,Sul,5684.7,Superior Incompleto,Agressivo,24.9,948215.86,Compra de Imóvel,Outro,Day Trade,Médio,Não,Não
51,Masculino,Solteiro,Nordeste,26381.89,Superior Completo,Agressivo,3.4,990721.44,Compra de Imóvel,Varejo,Semanal (Swing Trade),Médio,Sim,Não
71,Outro,Divorciado,Centro-Oeste,24458.62,Fundamental,Arrojado,29.6,878891.92,Compra de Imóvel,Commodities,Semanal (Swing Trade),Médio,Sim,Não
